# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	15
# Session Id:	378
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:58:34 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287173	29004.5969795472	184895655.6	475750240.6	546578446.6	-1999.19999980927	-68330.4000000954	59080.1999998093	-44821.8000001907	10204.5999999046
-1287175	29004.7003277761	184766010.6	475819294.6	546573598.6	-27638.1999998093	-66912.4000000954	59816.1999998093	-44180.8000001907	12458.5999999046
-1287181	29005.0103769095	185108158.6	476250756.6	546740928.6	-674.199999809265	-61775.4000000954	64788.1999998093	-41211.8000001907	15985.5999999046
-1287185	29005.2170800375	184819258.6	476017636.6	546946042.6	-21760.1999998093	-64947.4000000954	62035.1999998093	-45213.8000001907	13468.5999999046
-1287190	29005.4754631165	184866495.6	475738356.6	546605859.6	-26686.1999998093	-66566.4000000954	61885.1999998093	-44699.8000001907	13084.5999999046
-1287195	29005.7338508278	184581610.6	475593444.6	546200678.6	19482.8000001907	-66290.4000000954	62037.1999998093	-43003.8000001907	13696.5999999046
-1287200	29005.9922431716	184588830.6	475518389.6	546062938.6	21750.8000001907	-65539.4000000954	62646.1999998093	-42952.8000001907	16200.5999999046
-1287205	29006.250640148	184807597.6	475067696.6	546413150.6	-48490.1999998093	-69456.4000000954	57508.1999998093	-48070.8000001907	11421.5999999046
-1287211	29006.5607226349	184782792.6	475354849.6	546065314.6	17092.8000001907	-65197.4000000954	62539.1999998093	-42619.8000001907	15462.5999999046
-1287215	29006.7674479992	184824818.6	476056662.6	546521854.6	-64807.1999998093	-73306.4000000954	55961.1999998093	-49545.8000001907	10666.5999999046
-1287220	29007.0258588741	184741405.6	475844529.6	546274301.6	-21814.1999998093	-67796.4000000954	60427.1999998093	-43775.8000001907	15003.5999999046
-1287226	29007.3359580397	184750650.6	475737465.6	545975924.6	-105372.199999809	-67692.4000000954	59365.1999998093	-45598.8000001907	15059.5999999046
-1287231	29007.5943791077	184632947.6	474704007.6	545169884.6	-9400.19999980927	-66576.4000000954	61058.1999998093	-44036.8000001907	14677.5999999046
-1287236	29007.852804809	184691914.6	475564065.6	545949210.6	83134.8000001907	-69246.4000000954	59210.1999998093	-45678.8000001907	13763.5999999046
-1287242	29008.1629217667	184877251.6	475611696.6	546062041.6	-85897.1999998093	-65409.4000000954	63221.1999998093	-41753.8000001907	18214.5999999046
-1287246	29008.3696701121	184669739.6	476144348.6	546461068.6	53417.8000001907	-68081.4000000954	59354.1999998093	-44685.8000001907	15261.5999999046
-1287252	29008.6797981908	184782691.6	475712267.6	545393797.6	2917.80000019073	-64166.4000000954	63651.1999998093	-39922.8000001907	19355.5999999046
