Date and Time	Stepnumber	 T1  [°C]	 T2  [°C]	 T3  [°C]	 T4  [°C]	 P1 [psig] 	 P2 [psig] 	 P3 [psig] 	 P4 [psig] 	 P5 [psig] 	 P6 [psig] 	 P7 [psia] 	 P8 [psia] 	 P9 [psia] 	MFC1 SP [ml/min]	MFC2 SP [ml/min]	MFC3 SP [ml/min]	MFC4 SP [ml/min]	MFC5 SP [ml/min]	MFC6 SP [ml/min]	MFC1 CSP [ml/min]	MFC2 CSP [ml/min]	MFC3 CSP [ml/min]	MFC4 CSP [ml/min]	MFC5 CSP [ml/min]	MFC6 CSP [ml/min]	MFC1Flow [ml/min]	MFC2Flow [ml/min]	MFC3Flow [ml/min]	MFC4Flow [ml/min]	MFC5Flow [ml/min]	MFC6Flow [ml/min]	SV1 SP	SV1 Feedback	SV2 SP	SV2 Feedback	BV1	BV2	BV3	BV4	BV5	BV6	TR1 SP [°C]	TR1 CSP [°C]	TR1 T [°C]	TR2 SP [°C]	TR2 CSP [°C]	TR2 T [°C]	Extra AI1, Extra AI1 [Kg]	Extra AI2, Extra AI2 [psi]	Extra AI3, Extra AI3 [apples]	Extra AI4, Extra AI4 [barrels]	Extra TC1 - Extra TC1 [°C]	Extra TC2 - Extra TC2 [°C]	Extra TC3 - Extra TC3 [°C]	Extra TC4 - Extra TC4 [°C]	Extra TC5 - Extra TC5 [°C]	Extra TC6 - Extra TC6 [°C]	Extra TC7 - Extra TC7 [°C]	Extra TC8 - Extra TC8 [°C]	Extra DO 1	Extra DO 2	Extra DO 3	Extra DO 4	
6/14/2021 16:21:03	0	2300.219119	2300.219119	2300.553746	2300.553746	38.706421	35.939952	41.897544	21.463028	33.594850	40.571665	16.979523	6.151722	-4.229299	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.477632	0.374095	0.333053	0.057200	0.139788	0.121033	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.550327	0.000000	0.000000	0.000000	-0.128746	-0.021710	0.044284	0.100429	2300.553746	2300.219119	2300.219119	2300.553746	2300.553746	2300.553746	2300.394651	2300.394651	0	0	0	0	
6/14/2021 16:21:33	0	2300.198863	2300.198863	2300.532837	2300.532837	38.687824	35.917171	41.890229	21.452139	33.594887	40.570115	17.373288	7.260864	0.958321	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.418532	0.365886	0.321562	0.054672	0.137818	0.112168	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.463154	0.000000	0.000000	0.000000	0.082042	0.099444	0.093862	0.123740	2300.532837	2300.198863	2300.198863	2300.532837	2300.532837	2300.532837	2300.374134	2300.374134	0	0	0	0	
6/14/2021 16:21:48	0	2300.189610	2300.189610	2300.523607	2300.523607	38.695046	35.935024	41.893391	21.446253	33.595110	40.565249	17.407890	8.095382	5.272586	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.411966	0.403644	0.331412	0.059498	0.134535	0.119063	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.424105	0.000000	0.000000	0.000000	0.410373	0.333215	0.259012	0.238328	2300.523607	2300.189610	2300.189610	2300.523607	2300.523607	2300.523607	2300.364931	2300.364931	0	0	0	0	
6/14/2021 16:22:03	0	2300.161798	2300.161798	2300.495868	2300.495868	38.687669	35.926842	41.884340	21.441242	33.594748	40.572595	17.733691	8.839434	0.012729	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.346299	0.379020	0.331412	0.055821	0.143071	0.109213	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.386410	0.000000	0.000000	0.000000	-0.009562	0.015719	0.013093	0.041986	2300.495868	2300.161798	2300.161798	2300.495868	2300.495868	2300.495868	2300.336650	2300.336650	0	0	0	0	
6/14/2021 16:22:18	0	2300.134546	2300.134546	2300.467706	2300.467706	38.721484	35.926780	41.883814	21.436323	33.594831	40.574299	17.050835	7.000858	-1.661756	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.457932	0.375736	0.337978	0.053982	0.137161	0.113153	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.354395	0.000000	0.000000	0.000000	-0.033530	0.019659	0.062671	0.105025	2300.467706	2300.134546	2300.134546	2300.467706	2300.467706	2300.467706	2300.309060	2300.309060	0	0	0	0	
6/14/2021 16:22:33	0	2300.141467	2300.141467	2300.473823	2300.473823	38.695914	35.916025	41.885487	21.435430	33.594497	40.578577	17.338066	7.865205	-3.937085	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.385699	0.375736	0.341262	0.058119	0.149638	0.110198	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.334549	0.000000	0.000000	0.000000	-0.156654	-0.064722	-0.024994	0.024913	2300.473823	2300.141467	2300.141467	2300.473823	2300.473823	2300.473823	2300.315488	2300.315488	0	0	0	0	
6/14/2021 16:22:48	0	2300.131306	2300.131306	2300.462908	2300.462908	38.688785	35.911964	41.885766	21.431739	33.595017	40.578081	17.364635	8.475237	-2.505565	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.398832	0.374095	0.328128	0.056510	0.135848	0.118078	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.302675	0.000000	0.000000	0.000000	-0.124478	-0.058483	-0.033530	0.003571	2300.462908	2300.131306	2300.131306	2300.462908	2300.462908	2300.462908	2300.305248	2300.305248	0	0	0	0	
6/14/2021 16:23:03	0	2300.139788	2300.139788	2300.469890	2300.469890	38.714355	35.921758	41.885952	21.429907	33.594785	40.581087	16.993681	7.176013	-0.916446	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.418532	0.370811	0.336337	0.054672	0.143728	0.113153	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.293837	0.000000	0.000000	0.000000	-0.017114	0.019659	0.054462	0.094190	2300.469890	2300.139788	2300.139788	2300.469890	2300.469890	2300.469890	2300.312929	2300.312929	0	0	0	0	
6/14/2021 16:23:18	0	2300.100101	2300.100101	2300.429032	2300.429032	38.721360	35.908555	41.886014	21.428531	33.594831	40.586728	17.066989	7.203524	-3.940368	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.411966	0.400361	0.349470	0.056510	0.150295	0.105273	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.277224	0.000000	0.000000	0.000000	-0.147461	-0.046992	-0.003652	0.046254	2300.429032	2300.100101	2300.100101	2300.429032	2300.429032	2300.429032	2300.273497	2300.273497	0	0	0	0	
6/14/2021 16:23:33	0	2300.093675	2300.093675	2300.421025	2300.421025	38.712310	35.910260	41.888184	21.430688	33.594617	40.589084	17.444055	7.029670	-4.032301	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.438232	0.365886	0.326487	0.055131	0.142415	0.113153	A	Moving or Left	A	A	1	0	0	0	0	0	0.000000	0.000000	26.259912	0.000000	0.000000	0.000000	-0.108389	-0.010547	0.053149	0.108637	2300.421025	2300.093675	2300.093675	2300.421025	2300.421025	2300.421025	2300.266656	2300.266656	0	0	0	0	
