0000000077,scans,0000000146,DataLength
"header",0000000029,"lines"
"Date",6/14/2021,"Time",4:20:01 PM
"ID","HAL RC RGA 201 #16792","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 7","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 8","RGA","Temperature","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 9","RGA","vacuum","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",200.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",840,"V"
"resolution",0,"%"
"Data",9
"Time","ms","H2","He","H2O","28","O2","Ar","CO2","T","Vac",
00:00:00,        31,  4.29999e-09,  1.80599e-07,  0.00000e+00,  8.59998e-09,  4.29999e-09,  3.80119e-06,  4.29999e-09,    26.6066,  1.81680e-06,
00:01:10,     70363, -2.68749e-09,  1.80728e-07,  3.36474e-09,  9.40623e-09,  7.39598e-09,  3.80616e-06, -6.66498e-10,    26.8216,  1.81680e-06,
00:02:24,    144043,  4.29999e-10,  7.24548e-08,  3.00999e-09,  2.39079e-07,  5.08474e-08,  3.70673e-06,  2.14999e-10,    26.8753,  1.91498e-06,
